Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 824
Retained: 34
Retention rate: 4.1%

Newcomers:
  godpit               | First: 2019-01-09 | Latest: 2019-01-09 | Current activities:  0 | ❌ Not retained
  gokeep-projects      | First: 2018-12-18 | Latest: 2019-01-03 | Current activities:  0 | ❌ Not retained
  gronono              | First: 2015-06-05 | Latest: 2016-04-21 | Current activities:  0 | ❌ Not retained
  guerricmerleHUG      | First: 2019-03-01 | Latest: 2023-11-24 | Current activities:  1 | ✅ RETAINED
  gunjank              | First: 2017-08-12 | Latest: 2017-08-15 | Current activities:  0 | ❌ Not retained
  herder               | First: 2016-06-08 | Latest: 2016-06-10 | Current activities:  0 | ❌ Not retained
  hotstepper13         | First: 2017-08-25 | Latest: 2017-08-28 | Current activities:  0 | ❌ Not retained
  htynkn               | First: 2016-07-16 | Latest: 2017-10-15 | Current activities:  0 | ❌ Not retained
  illingtonFlex        | First: 2018-06-25 | Latest: 2018-06-28 | Current activities:  0 | ❌ Not retained
  indraneelb1903       | First: 2018-05-15 | Latest: 2018-06-17 | Current activities:  0 | ❌ Not retained
  ioxiaowei            | First: 2019-11-23 | Latest: 2019-11-24 | Current activities:  0 | ❌ Not retained
  jacks808             | First: 2016-11-18 | Latest: 2016-11-18 | Current activities:  0 | ❌ Not retained
  jakabgergely         | First: 2016-05-12 | Latest: 2016-05-12 | Current activities:  0 | ❌ Not retained
  jarmoni              | First: 2016-06-17 | Latest: 2016-11-16 | Current activities:  0 | ❌ Not retained
  jbhardwaj12          | First: 2016-09-19 | Latest: 2016-09-19 | Current activities:  0 | ❌ Not retained
  jhartotr             | First: 2019-11-25 | Latest: 2020-07-20 | Current activities:  1 | ✅ RETAINED
  jiangyuhe123         | First: 2016-08-27 | Latest: 2016-09-04 | Current activities:  0 | ❌ Not retained
  jmisur               | First: 2016-05-25 | Latest: 2017-01-25 | Current activities:  0 | ❌ Not retained
  jochenwierum         | First: 2017-05-07 | Latest: 2017-05-07 | Current activities:  0 | ❌ Not retained
  joshlong             | First: 2018-01-11 | Latest: 2018-01-11 | Current activities:  0 | ❌ Not retained
  kamilwlf             | First: 2016-10-28 | Latest: 2016-10-28 | Current activities:  0 | ❌ Not retained
  kevin-peters         | First: 2018-03-29 | Latest: 2018-04-05 | Current activities:  0 | ❌ Not retained
  klopfdreh            | First: 2019-03-06 | Latest: 2019-03-08 | Current activities:  0 | ❌ Not retained
  kurly09              | First: 2019-07-14 | Latest: 2019-07-15 | Current activities:  0 | ❌ Not retained
  lambliesdown         | First: 2020-01-24 | Latest: 2020-04-20 | Current activities:  1 | ✅ RETAINED
  lijie121210          | First: 2017-08-17 | Latest: 2017-08-24 | Current activities:  0 | ❌ Not retained
  lilaizhencn          | First: 2018-07-24 | Latest: 2018-09-25 | Current activities:  0 | ❌ Not retained
  liyj144              | First: 2018-11-17 | Latest: 2018-11-17 | Current activities:  0 | ❌ Not retained
  lukasz-kaminski      | First: 2016-11-14 | Latest: 2020-05-14 | Current activities:  1 | ✅ RETAINED
  magaton              | First: 2015-05-05 | Latest: 2016-06-01 | Current activities:  0 | ❌ Not retained
  magicsgxie           | First: 2018-06-22 | Latest: 2020-09-21 | Current activities:  1 | ✅ RETAINED
  manjunadh            | First: 2017-07-04 | Latest: 2017-07-27 | Current activities:  0 | ❌ Not retained
  mar1ged              | First: 2016-09-29 | Latest: 2016-09-29 | Current activities:  0 | ❌ Not retained
  marcin-kasinski      | First: 2019-02-15 | Latest: 2019-02-15 | Current activities:  0 | ❌ Not retained
  mariuszluciow        | First: 2015-01-19 | Latest: 2015-01-19 | Current activities:  0 | ❌ Not retained
  matthjes             | First: 2018-04-06 | Latest: 2018-04-24 | Current activities:  0 | ❌ Not retained
  maxjiang153          | First: 2016-10-10 | Latest: 2016-11-17 | Current activities:  0 | ❌ Not retained
  mayureshharsha       | First: 2018-12-09 | Latest: 2018-12-12 | Current activities:  0 | ❌ Not retained
  mbaris               | First: 2018-04-06 | Latest: 2018-04-06 | Current activities:  0 | ❌ Not retained
  mersal-svds          | First: 2015-09-25 | Latest: 2015-09-26 | Current activities:  0 | ❌ Not retained
  michaelmcfadyensky   | First: 2019-07-11 | Latest: 2019-07-14 | Current activities:  0 | ❌ Not retained
  micheljung           | First: 2017-05-26 | Latest: 2017-05-26 | Current activities:  0 | ❌ Not retained
  michformanek         | First: 2019-03-11 | Latest: 2019-12-09 | Current activities:  0 | ❌ Not retained
  mohita123            | First: 2017-10-23 | Latest: 2017-10-26 | Current activities:  0 | ❌ Not retained
  monsif               | First: 2018-06-05 | Latest: 2018-07-09 | Current activities:  0 | ❌ Not retained
  mstommes             | First: 2017-01-06 | Latest: 2017-06-09 | Current activities:  0 | ❌ Not retained
  newdha               | First: 2016-11-21 | Latest: 2016-12-22 | Current activities:  0 | ❌ Not retained
  oxygensar            | First: 2016-02-15 | Latest: 2016-03-31 | Current activities:  0 | ❌ Not retained
  paulvi               | First: 2019-01-15 | Latest: 2019-03-07 | Current activities:  0 | ❌ Not retained
  phiber               | First: 2018-08-16 | Latest: 2018-08-16 | Current activities:  0 | ❌ Not retained
  prafsoni             | First: 2018-06-19 | Latest: 2018-10-08 | Current activities:  0 | ❌ Not retained
  qwwfxl               | First: 2018-09-26 | Latest: 2018-09-26 | Current activities:  0 | ❌ Not retained
  rahul34167           | First: 2018-12-05 | Latest: 2018-12-05 | Current activities:  0 | ❌ Not retained
  raulvillalbamedina   | First: 2018-12-21 | Latest: 2019-08-13 | Current activities:  0 | ❌ Not retained
  rowi1de              | First: 2018-10-23 | Latest: 2022-08-31 | Current activities:  1 | ✅ RETAINED
  sallampalli          | First: 2016-02-04 | Latest: 2016-11-10 | Current activities:  0 | ❌ Not retained
