Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 142
Retained: 9
Retention rate: 6.3%

Newcomers:
  tookar               | First: 2018-09-27 | Latest: 2018-09-27 | Current activities:  0 | ❌ Not retained
  tscrypter            | First: 2019-10-02 | Latest: 2019-10-02 | Current activities:  0 | ❌ Not retained
  ukjbrown             | First: 2016-03-14 | Latest: 2016-03-14 | Current activities:  0 | ❌ Not retained
  vgaddavcg            | First: 2020-03-02 | Latest: 2020-03-02 | Current activities:  0 | ❌ Not retained
  vonrosen             | First: 2019-10-26 | Latest: 2019-10-26 | Current activities:  0 | ❌ Not retained
  w3blogfr             | First: 2017-07-23 | Latest: 2017-07-23 | Current activities:  0 | ❌ Not retained
  wanghongenpin        | First: 2018-11-28 | Latest: 2018-11-28 | Current activities:  0 | ❌ Not retained
  weichun-wang         | First: 2019-08-01 | Latest: 2019-08-01 | Current activities:  0 | ❌ Not retained
  wlami                | First: 2017-05-30 | Latest: 2017-05-30 | Current activities:  0 | ❌ Not retained
  wonwoo               | First: 2017-12-27 | Latest: 2017-12-27 | Current activities:  0 | ❌ Not retained
  yevtsy               | First: 2018-10-22 | Latest: 2018-10-22 | Current activities:  0 | ❌ Not retained
  yleguern             | First: 2018-11-16 | Latest: 2018-11-16 | Current activities:  0 | ❌ Not retained
  zhanglei-1987        | First: 2019-07-19 | Latest: 2019-07-19 | Current activities:  0 | ❌ Not retained
  zhangwei5095         | First: 2017-03-03 | Latest: 2017-03-03 | Current activities:  0 | ❌ Not retained
  zhaolin81            | First: 2018-12-28 | Latest: 2018-12-28 | Current activities:  0 | ❌ Not retained
  ziebapawel           | First: 2019-04-30 | Latest: 2019-04-30 | Current activities:  0 | ❌ Not retained
  zilm13               | First: 2016-10-11 | Latest: 2016-10-11 | Current activities:  0 | ❌ Not retained
