Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  Cimballi                       | First: 2022-10-14 | Last: 2022-10-14 | LEAVING
  braunsonm                      | First: 2022-10-12 | Last: 2022-10-12 | LEAVING
  VenkateshSrini                 | First: 2022-09-29 | Last: 2022-09-29 | LEAVING
  deveshprobus                   | First: 2022-09-29 | Last: 2022-09-29 | LEAVING
  OnlyEatCairoubao               | First: 2022-09-28 | Last: 2022-09-28 | LEAVING
  vanwobe                        | First: 2022-09-26 | Last: 2022-09-26 | LEAVING
  lagudomeze                     | First: 2022-08-16 | Last: 2022-09-18 | LEAVING
  ViliusS                        | First: 2022-05-28 | Last: 2022-09-09 | LEAVING
  saikrishnasaski                | First: 2022-09-06 | Last: 2022-09-06 | LEAVING
  rowi1de                        | First: 2018-10-23 | Last: 2022-08-31 | LEAVING
  clockrun                       | First: 2022-08-26 | Last: 2022-08-26 | LEAVING
  dbnex14                        | First: 2022-08-23 | Last: 2022-08-23 | LEAVING
  placaze                        | First: 2022-08-17 | Last: 2022-08-18 | LEAVING
  pihug12                        | First: 2022-08-18 | Last: 2022-08-18 | LEAVING
  liran2000                      | First: 2022-08-02 | Last: 2022-08-02 | LEAVING
  fan9704                        | First: 2022-08-01 | Last: 2022-08-01 | LEAVING
  wangpeicong1998                | First: 2022-08-01 | Last: 2022-08-01 | LEAVING
  HappyWHoo                      | First: 2022-07-27 | Last: 2022-07-27 | LEAVING
  lyguoguo                       | First: 2022-07-27 | Last: 2022-07-27 | LEAVING
  filpano                        | First: 2021-02-02 | Last: 2022-07-15 | LEAVING
  AtahAhmed                      | First: 2022-07-15 | Last: 2022-07-15 | LEAVING
  michelmeeuwissen               | First: 2022-07-15 | Last: 2022-07-15 | LEAVING
  zhanghengdashuaibi             | First: 2022-07-15 | Last: 2022-07-15 | LEAVING
  AYiXi                          | First: 2022-07-04 | Last: 2022-07-04 | LEAVING
  pgouri017                      | First: 2020-09-15 | Last: 2022-06-28 | LEAVING
  misselvexu                     | First: 2022-06-27 | Last: 2022-06-28 | LEAVING
  kuengroc                       | First: 2022-06-28 | Last: 2022-06-28 | LEAVING
  dongyinuo                      | First: 2022-06-26 | Last: 2022-06-26 | LEAVING
  spekdrum                       | First: 2022-06-14 | Last: 2022-06-14 | LEAVING
  dpavanelli                     | First: 2022-06-08 | Last: 2022-06-08 | LEAVING
  vellingirim                    | First: 2022-06-06 | Last: 2022-06-06 | LEAVING
  sageOfGitPaths                 | First: 2022-06-04 | Last: 2022-06-04 | LEAVING
  antechrestos                   | First: 2021-02-25 | Last: 2022-05-29 | LEAVING
  rahulgautam034                 | First: 2022-05-25 | Last: 2022-05-25 | LEAVING
  MonkeyYeah                     | First: 2022-05-17 | Last: 2022-05-17 | LEAVING
  jaschenk                       | First: 2022-05-12 | Last: 2022-05-12 | LEAVING
  hwy425                         | First: 2022-05-03 | Last: 2022-05-03 | LEAVING
  thomasdac                      | First: 2022-04-29 | Last: 2022-04-29 | LEAVING
  lleder                         | First: 2022-04-22 | Last: 2022-04-22 | LEAVING
  mdddj                          | First: 2022-04-15 | Last: 2022-04-15 | LEAVING
  qq253498229                    | First: 2022-04-15 | Last: 2022-04-15 | LEAVING
  pepevalbe                      | First: 2022-03-27 | Last: 2022-04-13 | LEAVING
  sehmusaydogdu                  | First: 2022-04-11 | Last: 2022-04-11 | LEAVING
  vpodoprigo                     | First: 2022-04-04 | Last: 2022-04-04 | LEAVING
  oespino                        | First: 2022-03-18 | Last: 2022-03-24 | LEAVING
  azi03                          | First: 2022-03-06 | Last: 2022-03-06 | LEAVING
  patpatpat123                   | First: 2019-09-01 | Last: 2022-03-03 | LEAVING
  li-xiao-shuang                 | First: 2022-03-03 | Last: 2022-03-03 | LEAVING
  Cocowwy                        | First: 2022-03-01 | Last: 2022-03-01 | LEAVING
  Springjunky                    | First: 2022-01-05 | Last: 2022-02-17 | LEAVING
  pobodysnerfect                 | First: 2022-02-08 | Last: 2022-02-08 | LEAVING
  Halayem                        | First: 2022-02-03 | Last: 2022-02-03 | LEAVING
  rHilkner                       | First: 2022-01-31 | Last: 2022-01-31 | LEAVING
  pasolid                        | First: 2022-01-30 | Last: 2022-01-30 | LEAVING
  mateofacu                      | First: 2022-01-07 | Last: 2022-01-28 | LEAVING
  350078238                      | First: 2022-01-23 | Last: 2022-01-23 | LEAVING
  AnAloneJaver                   | First: 2022-01-14 | Last: 2022-01-14 | LEAVING
  charlesb-yesmail               | First: 2022-01-14 | Last: 2022-01-14 | LEAVING
  vgropp                         | First: 2022-01-12 | Last: 2022-01-12 | LEAVING
  zackfei                        | First: 2021-11-30 | Last: 2022-01-11 | LEAVING
  JyotiMittal1993                | First: 2022-01-03 | Last: 2022-01-03 | LEAVING
  VincentBostoen                 | First: 2022-01-03 | Last: 2022-01-03 | LEAVING
  herodotus-ecosystem            | First: 2021-12-25 | Last: 2021-12-25 | LEAVING
  RoyalMoon                      | First: 2021-12-21 | Last: 2021-12-21 | LEAVING
  zondacker                      | First: 2021-12-20 | Last: 2021-12-20 | LEAVING
  playaz87                       | First: 2021-12-17 | Last: 2021-12-17 | LEAVING
  zundaren                       | First: 2021-12-16 | Last: 2021-12-16 | LEAVING
  akshmendhe                     | First: 2021-12-15 | Last: 2021-12-15 | LEAVING
  JamesTaylor04                  | First: 2021-12-13 | Last: 2021-12-13 | LEAVING
  ettingshausen                  | First: 2021-12-10 | Last: 2021-12-10 | LEAVING
  kevinspelt                     | First: 2021-12-10 | Last: 2021-12-10 | LEAVING
  mh-ckantzer                    | First: 2021-12-02 | Last: 2021-12-02 | LEAVING
  XieRW                          | First: 2021-12-01 | Last: 2021-12-01 | LEAVING
  axsy                           | First: 2021-11-29 | Last: 2021-11-29 | LEAVING
  wangxufire                     | First: 2021-05-25 | Last: 2021-11-28 | LEAVING
  ITGcx                          | First: 2021-11-26 | Last: 2021-11-26 | LEAVING
  jzcccc                         | First: 2021-11-25 | Last: 2021-11-25 | LEAVING
  ouaibsky                       | First: 2015-02-11 | Last: 2021-11-23 | LEAVING
  bootstrap2025                  | First: 2021-04-22 | Last: 2021-11-22 | LEAVING
  immanishbainsla                | First: 2021-11-17 | Last: 2021-11-22 | LEAVING
  nickcaballero                  | First: 2021-11-19 | Last: 2021-11-19 | LEAVING
  melloware                      | First: 2021-11-05 | Last: 2021-11-05 | LEAVING
  feixiaoduo                     | First: 2021-11-01 | Last: 2021-11-01 | LEAVING
  zxuanhong                      | First: 2021-07-19 | Last: 2021-10-30 | LEAVING
  Joristdh                       | First: 2021-10-14 | Last: 2021-10-14 | LEAVING
  jameswuwu                      | First: 2021-10-14 | Last: 2021-10-14 | LEAVING
  mina-bedier                    | First: 2021-09-23 | Last: 2021-09-23 | LEAVING
  JohReher                       | First: 2021-09-22 | Last: 2021-09-22 | LEAVING
  deadpassive                    | First: 2021-09-17 | Last: 2021-09-17 | LEAVING
  logicg8                        | First: 2021-09-17 | Last: 2021-09-17 | LEAVING
  eanton86                       | First: 2021-09-10 | Last: 2021-09-10 | LEAVING
  nathankooij                    | First: 2021-08-18 | Last: 2021-08-30 | LEAVING
  kerwin612                      | First: 2021-08-27 | Last: 2021-08-27 | LEAVING
  Arpanparikh                    | First: 2021-08-19 | Last: 2021-08-19 | LEAVING
  charbus                        | First: 2021-08-17 | Last: 2021-08-17 | LEAVING
